geoid,hpsa_score_max,hpsa_designation_count,pct_below_poverty,hpsa_designated
22055,13,2,17.4,1
22057,15,2,17.9,1
22059,15,3,15.4,1
22061,18,1,30.6,1
22063,12,1,13.1,1
22065,15,1,36.6,1
22067,20,4,30.6,1
22069,17,2,24.1,1
22071,22,8,22.6,1
22073,16,3,24.0,1
22075,12,2,13.3,1
22077,22,2,17.7,1
22079,18,3,18.9,1
22081,15,1,29.3,1
22083,20,3,23.5,1
22085,20,2,22.7,1
22091,15,1,30.0,1
22093,12,1,10.4,1
22095,20,1,12.5,1
22097,17,8,23.9,1
22099,18,1,16.5,1
22101,20,3,22.0,1
22105,17,5,19.4,1
22107,23,4,32.8,1
22109,17,2,16.4,1
22111,15,1,28.6,1
22113,16,6,19.2,1
22115,11,1,18.2,1
22117,19,2,24.1,1
22119,19,2,26.8,1
22125,17,3,11.6,1
22127,18,2,22.0,1
23001,12,3,,1
23003,13,42,19.9,1
23005,16,8,13.3,1
23007,18,10,16.8,1
23009,9,1,,1
23011,13,2,,1
23013,8,2,,1
23015,14,3,,1
23017,18,30,16.8,1
23019,19,49,23.9,1
23021,17,21,16.8,1
23025,13,17,16.8,1
23027,14,4,,1
23029,16,41,22.2,1
23031,14,6,7.8,1
24001,18,2,17.2,1
24003,18,1,,1
24011,20,2,12.3,1
24013,15,1,5.2,1
24015,20,2,9.7,1
24017,16,1,6.3,1
24019,19,1,16.2,1
24021,20,2,6.8,1
24023,18,1,,1
24029,17,1,11.5,1
24031,21,15,10.5,1
24033,22,1,,1
24035,16,1,5.7,1
24039,20,1,20.1,1
24043,21,3,12.2,1
24045,21,2,15.3,1
24047,15,1,9.0,1
24510,24,29,41.9,1
25001,16,4,,1
25003,16,22,15.0,1
25005,21,4,19.8,1
25007,15,3,5.3,1
25009,21,29,17.8,1
25011,18,23,13.7,1
25013,16,11,22.7,1
25015,15,8,6.8,1
25017,11,2,,1
25019,11,1,3.0,1
25021,17,1,,1
25023,13,2,,1
25025,19,16,,1
25027,15,12,19.7,1
26001,13,1,14.3,1
26003,14,2,,1
26005,18,2,9.0,1
26007,17,3,16.9,1
26011,18,4,15.7,1
26013,15,4,13.5,1
26015,14,4,,1
26017,14,1,14.0,1
26021,19,5,15.1,1
26023,15,2,15.4,1
26025,19,3,14.2,1
26027,19,4,13.1,1
26029,8,1,,1
26031,19,1,12.7,1
26033,18,6,15.6,1
26035,17,7,21.1,1
26039,13,1,11.4,1
26041,15,4,13.9,1
26043,15,7,,1
26045,14,22,14.5,1
26047,18,3,,1
26049,17,3,15.9,1
26051,16,2,13.1,1
26053,15,3,14.9,1
26055,6,1,,1
26057,15,9,14.2,1
26059,15,2,15.5,1
26061,14,4,15.5,1
26063,14,8,12.1,1
26065,17,14,14.5,1
26067,14,11,11.4,1
26069,17,6,16.6,1
26071,18,2,16.9,1
26073,16,9,23.1,1
26075,19,5,12.1,1
26077,19,2,13.2,1
26079,13,1,14.0,1
26081,18,5,17.3,1
26083,14,1,15.5,1
26085,20,2,20.6,1
26087,3,1,,1
26089,15,2,,1
26091,14,2,11.6,1
26095,18,3,17.2,1
26097,18,7,16.8,1
26099,22,2,,1
26101,15,3,11.7,1
26103,13,3,,1
26105,16,5,14.6,1
26107,17,4,17.9,1
26109,16,3,12.1,1
26113,15,1,10.7,1
26115,18,1,,1
26117,16,10,11.9,1
26119,19,2,17.9,1
26121,21,6,12.6,1
26123,16,7,14.2,1
26125,19,2,25.6,1
