geoid,md_primary_care_count,do_primary_care_count,total_population,pcp_count,pcp_per_100k
06097,447.0,41.0,482650.0,488.0,101.10846369004456
06099,341.0,25.0,551275.0,366.0,66.39154686862274
06101,69.0,6.0,98503.0,75.0,76.13981300061927
06103,29.0,7.0,65245.0,36.0,55.1766418882673
06105,1.0,1.0,15781.0,2.0,12.673468094544072
06107,213.0,18.0,477544.0,231.0,48.37250598897693
06109,30.0,3.0,54531.0,33.0,60.51603674973868
06111,645.0,53.0,832605.0,698.0,83.83327027822317
06113,241.0,23.0,222115.0,264.0,118.85734867073364
06115,19.0,1.0,84310.0,20.0,23.721978412999643
08001,274.0,20.0,527575.0,294.0,55.72667393261622
08003,10.0,4.0,16592.0,14.0,84.37801350048215
08005,481.0,64.0,655808.0,545.0,83.10359129501317
08007,9.0,3.0,14003.0,12.0,85.69592230236378
08009,2.0,0.0,3432.0,2.0,58.27505827505828
08011,0.0,0.0,5399.0,0.0,0.0
08013,362.0,38.0,327468.0,400.0,122.14933978281849
08014,73.0,16.0,76121.0,89.0,116.91911561855467
08015,17.0,4.0,20223.0,21.0,103.84215991692626
08017,0.0,0.0,1732.0,0.0,0.0
08019,0.0,1.0,9355.0,1.0,10.689470871191876
08021,2.0,0.0,7579.0,2.0,26.38870563398865
08023,0.0,0.0,3603.0,0.0,0.0
08025,0.0,0.0,5614.0,0.0,0.0
08027,0.0,1.0,5335.0,1.0,18.744142455482663
08029,14.0,5.0,31602.0,19.0,60.12277703942788
08031,881.0,68.0,713252.0,949.0,133.05255365565046
08033,0.0,1.0,2455.0,1.0,40.73319755600815
08035,206.0,47.0,375988.0,253.0,67.28938157600774
08037,40.0,2.0,55285.0,42.0,75.96997377227096
08039,0.0,3.0,27799.0,3.0,10.791755099104284
08041,385.0,83.0,740567.0,468.0,63.19482234558116
08043,21.0,3.0,49621.0,24.0,48.36661897180629
08045,44.0,9.0,62271.0,53.0,85.11184981773218
08047,1.0,1.0,5891.0,2.0,33.950093362756746
08049,7.0,1.0,15769.0,8.0,50.732449743166974
08051,12.0,3.0,17267.0,15.0,86.87090982799559
08053,0.0,0.0,775.0,0.0,0.0
08055,5.0,0.0,7082.0,5.0,70.60152499293986
08057,1.0,0.0,1302.0,1.0,76.80491551459293
08059,450.0,64.0,576143.0,514.0,89.21396250583624
08061,0.0,0.0,1424.0,0.0,0.0
08063,3.0,0.0,6961.0,3.0,43.097256141359
08065,4.0,0.0,7327.0,4.0,54.59260270233384
08067,62.0,9.0,56607.0,71.0,125.42618404084301
08069,259.0,48.0,366778.0,307.0,83.70185779954086
08071,8.0,0.0,14327.0,8.0,55.8386263697913
08073,4.0,1.0,5510.0,5.0,90.74410163339383
08075,9.0,5.0,20823.0,14.0,67.23334774047927
08077,163.0,35.0,158636.0,198.0,124.81403968834313
08079,1.0,1.0,931.0,2.0,214.82277121374864
08081,2.0,1.0,13177.0,3.0,22.766942399635727
08083,25.0,2.0,26468.0,27.0,102.00997430859906
08085,27.0,6.0,43811.0,33.0,75.32354888041816
08087,11.0,3.0,29239.0,14.0,47.881254488867604
08089,11.0,2.0,18303.0,13.0,71.02660765994646
08091,2.0,1.0,5100.0,3.0,58.8235294117647
08093,0.0,3.0,17939.0,3.0,16.723340208484306
