geoid,uninsured_rate,uninsured_count,total_population
22125,0.053,405.0,7704.0
22127,0.08,738.0,9199.0
23001,0.081,7126.0,87847.0
23003,0.10400000000000001,5115.0,49114.0
23005,0.067,16134.0,241165.0
23007,0.08900000000000001,1934.0,21772.0
23009,0.115,4650.0,40444.0
23011,0.081,7867.0,96927.0
23013,0.10300000000000001,2937.0,28600.0
23015,0.10099999999999999,2548.0,25272.0
23017,0.11,4982.0,45164.0
23019,0.08800000000000001,10397.0,118099.0
23021,0.091,1132.0,12463.0
23023,0.078,2203.0,28255.0
23025,0.09699999999999999,3768.0,38886.0
23027,0.10400000000000001,3081.0,29519.0
23029,0.11599999999999999,2600.0,22366.0
23031,0.071,11873.0,167549.0
24001,0.061,2960.0,48441.0
24003,0.052000000000000005,25423.0,490282.0
24005,0.06,40013.0,668068.0
24009,0.044000000000000004,3455.0,79041.0
24011,0.087,2384.0,27415.0
24013,0.043,6130.0,141937.0
24015,0.054000000000000006,4676.0,86661.0
24017,0.049,7065.0,143674.0
24019,0.07,1740.0,24856.0
24021,0.052000000000000005,12367.0,239535.0
24023,0.084,1803.0,21471.0
24025,0.046,10064.0,217031.0
24027,0.043,12048.0,280417.0
24029,0.071,913.0,12880.0
24031,0.077,66678.0,863347.0
24033,0.109,83913.0,769147.0
24035,0.06,2455.0,40937.0
24037,0.053,5185.0,97166.0
24039,0.061,948.0,15443.0
24041,0.075,1973.0,26274.0
24043,0.076,9303.0,121821.0
24045,0.08,6733.0,83770.0
24047,0.071,2686.0,37991.0
24510,0.066,30030.0,456931.0
25001,0.03,4588.0,154006.0
25003,0.027999999999999997,2579.0,92053.0
25005,0.034,15754.0,468796.0
25007,0.040999999999999995,630.0,15288.0
25009,0.035,22514.0,646068.0
25011,0.026000000000000002,1355.0,52815.0
25013,0.033,12022.0,367311.0
25015,0.025,2749.0,109487.0
25017,0.024,31210.0,1307400.0
25019,0.038,451.0,11973.0
25021,0.024,13748.0,584808.0
25023,0.024,10240.0,421037.0
25025,0.031,19020.0,621905.0
25027,0.032,22465.0,696156.0
26001,0.071,469.0,6622.0
26003,0.06,334.0,5559.0
26005,0.057,5663.0,98852.0
26007,0.062,1323.0,21406.0
26009,0.068,1169.0,17279.0
26011,0.064,710.0,11012.0
26013,0.066,357.0,5416.0
26015,0.055,2788.0,50782.0
26017,0.057,4586.0,80445.0
26019,0.068,890.0,13120.0
26021,0.069,8223.0,118421.0
26023,0.08199999999999999,2877.0,34931.0
26025,0.062,6578.0,106900.0
26027,0.069,2714.0,39452.0
26029,0.062,1181.0,19055.0
26031,0.075,1380.0,18313.0
26033,0.075,1837.0,24536.0
26035,0.083,1930.0,23243.0
26037,0.044000000000000004,2859.0,64814.0
26039,0.061,598.0,9820.0
26041,0.063,1706.0,27040.0
26043,0.051,990.0,19575.0
26045,0.048,4125.0,86110.0
26047,0.065,1643.0,25470.0
26049,0.052000000000000005,16789.0,323056.0
26051,0.077,1434.0,18578.0
26053,0.061,615.0,10081.0
26055,0.057,4268.0,74436.0
26057,0.051,1467.0,28690.0
26059,0.066,2305.0,34997.0
26061,0.063,1728.0,27579.0
26063,0.07,1597.0,22698.0
26065,0.057999999999999996,13193.0,227821.0
26067,0.057999999999999996,2876.0,49948.0
26069,0.064,1133.0,17660.0
26071,0.077,610.0,7945.0
26073,0.066,3442.0,52014.0
26075,0.055999999999999994,6861.0,121850.0
26077,0.051,10862.0,214164.0
26079,0.073,1039.0,14173.0
26081,0.055,30301.0,553597.0
26083,0.048,68.0,1405.0
26085,0.076,598.0,7863.0
26087,0.057,3956.0,69953.0
26089,0.066,995.0,15034.0
26091,0.054000000000000006,4076.0,75052.0
26093,0.038,6004.0,157651.0
26095,0.064,248.0,3891.0
26097,0.10800000000000001,800.0,7396.0
26099,0.055,39276.0,710385.0
26101,0.07,1206.0,17107.0
26103,0.059000000000000004,2936.0,49819.0
26105,0.055,1201.0,21686.0
26107,0.068,2166.0,31863.0
26109,0.063,1058.0,16854.0
26111,0.048,3197.0,66697.0
26113,0.081,960.0,11881.0
26115,0.049,6112.0,124589.0
26117,0.073,3670.0,50252.0
26119,0.077,494.0,6430.0
26121,0.051,7067.0,139790.0
26123,0.07,2818.0,39988.0
26125,0.047,48105.0,1028005.0
26127,0.07400000000000001,1534.0,20857.0
26129,0.07400000000000001,1107.0,15027.0
26131,0.071,260.0,3677.0
26133,0.067,1195.0,17923.0
26135,0.09699999999999999,580.0,5949.0
26137,0.067,1327.0,19856.0
26139,0.046,11342.0,244802.0
26141,0.064,566.0,8826.0
26143,0.067,1047.0,15561.0
26145,0.055,7988.0,145187.0
26147,0.049,6189.0,127481.0
26149,0.077,3776.0,49165.0
26151,0.067,2062.0,30987.0
26153,0.07200000000000001,416.0,5743.0
26155,0.055,3008.0,54334.0
26157,0.059000000000000004,2407.0,41034.0
26159,0.073,4408.0,60650.0
26161,0.043,12509.0,291542.0
26163,0.057,82316.0,1437633.0
26165,0.069,1863.0,26895.0
27001,0.068,720.0,10517.0
27003,0.052000000000000005,16071.0,309844.0
27005,0.07,1887.0,26918.0
27007,0.079,2776.0,34930.0
27009,0.054000000000000006,1931.0,35436.0
27011,0.062,234.0,3770.0
27013,0.052000000000000005,2905.0,56342.0
27015,0.05,969.0,19340.0
27017,0.054000000000000006,1538.0,28375.0
27019,0.033,3075.0,94414.0
27021,0.077,1700.0,22075.0
27023,0.068,641.0,9464.0
27025,0.045,2136.0,46995.0
27027,0.048,2606.0,54313.0
27029,0.091,612.0,6712.0
27031,0.071,276.0,3878.0
27033,0.071,614.0,8636.0
27035,0.061,3131.0,50989.0
27037,0.044000000000000004,16562.0,372329.0
27039,0.043,763.0,17636.0
27041,0.048,1430.0,29808.0
