locationid,measureid,data_value
01061,CHECKUP,80.1
05077,HIGHCHOL,34.1
06045,DENTAL,60.6
05001,ACCESS2,11.8
01045,DENTAL,54.6
04019,DENTAL,58.1
01103,CASTHMA,9.9
01131,ACCESS2,15.1
01049,ACCESS2,14.7
05149,DIABETES,12.2
05091,DIABETES,13.1
02070,CASTHMA,12.7
01025,BPHIGH,43.5
06063,BPHIGH,40.4
05057,CASTHMA,10.7
01025,CHECKUP,79.9
06021,DIABETES,11.1
04007,DIABETES,10.5
04015,DIABETES,9.7
01129,BPHIGH,47.4
01065,DIABETES,16.3
02150,CASTHMA,9.3
01063,DENTAL,41.0
06037,BPHIGH,28.4
05013,DENTAL,49.8
06011,HIGHCHOL,34.9
06039,DIABETES,13.5
05063,ACCESS2,11.6
06017,BPHIGH,26.5
06049,CASTHMA,11.1
05007,CHECKUP,78.4
05103,BPHIGH,49.5
05089,ACCESS2,11.6
02170,CHECKUP,69.9
01059,DENTAL,50.9
01067,CASTHMA,10.5
01099,CHECKUP,82.5
01063,ACCESS2,14.6
05059,DENTAL,51.8
02100,BPHIGH,30.1
02068,ACCESS2,9.3
05125,DIABETES,11.3
05143,HIGHCHOL,33.3
05069,BPHIGH,50.9
02068,DIABETES,8.6
05075,CASTHMA,10.7
06005,BPHIGH,37.6
01007,DENTAL,50.2
05023,DENTAL,53.0
05093,CHECKUP,78.4
01123,DENTAL,55.4
02195,DENTAL,59.5
59,DENTAL,63.9
01029,CHECKUP,76.3
01003,ACCESS2,8.3
05123,DENTAL,39.8
01105,CASTHMA,11.9
01013,ACCESS2,11.8
05089,CHECKUP,80.7
06017,CASTHMA,9.8
05055,CHECKUP,76.5
05081,BPHIGH,39.7
06063,HIGHCHOL,30.7
05149,CASTHMA,10.1
06069,CASTHMA,9.1
01035,HIGHCHOL,36.0
05041,CHECKUP,78.8
05111,DIABETES,14.6
05005,BPHIGH,36.2
01133,BPHIGH,46.9
01075,DENTAL,54.3
01079,DIABETES,12.5
01003,DIABETES,13.4
01009,BPHIGH,36.0
06009,HIGHCHOL,31.0
05003,BPHIGH,49.4
05095,HIGHCHOL,42.8
05091,HIGHCHOL,32.9
01063,HIGHCHOL,45.1
06025,CHECKUP,68.9
01009,DENTAL,54.0
06061,ACCESS2,5.6
04007,ACCESS2,13.2
01111,CASTHMA,10.4
02282,CASTHMA,10.9
01049,DIABETES,15.7
02122,CHECKUP,66.1
05055,CASTHMA,10.5
02122,DENTAL,59.5
06043,DENTAL,60.5
01103,ACCESS2,11.2
06047,ACCESS2,18.2
01079,BPHIGH,38.7
59,DIABETES,10.3
05125,ACCESS2,9.2
01081,BPHIGH,37.5
01001,CASTHMA,10.0
01097,DENTAL,51.6
05043,ACCESS2,12.6
01077,HIGHCHOL,40.3
02198,DENTAL,52.8
02150,BPHIGH,31.0
05091,ACCESS2,12.2
02170,HIGHCHOL,35.6
01019,HIGHCHOL,36.8
06055,ACCESS2,9.7
01013,BPHIGH,51.0
06045,ACCESS2,10.9
01005,CASTHMA,10.8
05135,ACCESS2,11.9
02066,CHECKUP,66.1
06041,HIGHCHOL,29.6
04023,DIABETES,15.5
04019,DIABETES,11.0
06007,CHECKUP,72.1
06021,HIGHCHOL,35.3
02110,DIABETES,8.9
05005,CHECKUP,76.7
01103,DIABETES,14.7
01047,ACCESS2,12.3
