NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Hidalgo County, Texas",54338,884598,891977,48,215
"Hill County, Texas",64591,36760,37328,48,217
"Hockley County, Texas",63140,21168,21363,48,219
"Hood County, Texas",88160,65074,65894,48,221
"Hopkins County, Texas",70888,37228,37784,48,223
"Houston County, Texas",56531,19477,22051,48,225
"Howard County, Texas",69649,29403,32290,48,227
"Hudspeth County, Texas",48600,2929,3403,48,229
"Hunt County, Texas",71938,108174,108972,48,231
"Hutchinson County, Texas",67228,20028,20184,48,233
"Irion County, Texas",70357,1409,1409,48,235
"Jack County, Texas",68079,7806,8882,48,237
"Jackson County, Texas",65414,14943,15152,48,239
"Jasper County, Texas",56723,31480,32727,48,241
"Jeff Davis County, Texas",59286,1850,1865,48,243
"Jefferson County, Texas",60026,239620,253878,48,245
"Jim Hogg County, Texas",42211,4656,4727,48,247
"Jim Wells County, Texas",51896,38514,38850,48,249
"Johnson County, Texas",84859,192808,195597,48,251
"Jones County, Texas",59464,14466,20304,48,253
"Karnes County, Texas",60214,11613,14968,48,255
"Kaufman County, Texas",89485,171350,172604,48,257
"Kendall County, Texas",114962,47855,48567,48,259
"Kenedy County, Texas",38882,145,145,48,261
"Kent County, Texas",72889,680,734,48,263
"Kerr County, Texas",69395,52387,53489,48,265
"Kimble County, Texas",69455,4349,4389,48,267
"King County, Texas",46645,211,211,48,269
"Kinney County, Texas",70000,2814,3157,48,271
"Kleberg County, Texas",61292,29929,30579,48,273
"Knox County, Texas",56667,3189,3307,48,275
"Lamar County, Texas",61880,50139,50669,48,277
"Lamb County, Texas",60760,12628,12828,48,279
"Lampasas County, Texas",81736,22293,22715,48,281
"La Salle County, Texas",57716,5698,6839,48,283
"Lavaca County, Texas",63240,20133,20552,48,285
"Lee County, Texas",76371,17524,17971,48,287
"Leon County, Texas",61449,16161,16263,48,289
"Liberty County, Texas",68703,98236,103380,48,291
"Limestone County, Texas",60573,21680,22283,48,293
"Lipscomb County, Texas",72560,2866,2918,48,295
"Live Oak County, Texas",57150,10063,11620,48,297
"Llano County, Texas",67530,22228,22424,48,299
"Loving County, Texas",51250,33,33,48,301
"Lubbock County, Texas",64155,314309,318884,48,303
"Lynn County, Texas",73679,5702,5752,48,305
"McCulloch County, Texas",54043,7411,7514,48,307
"McLennan County, Texas",66643,262338,266067,48,309
"McMullen County, Texas",43875,700,700,48,311
"Madison County, Texas",74596,11405,13648,48,313
"Marion County, Texas",49672,9622,9737,48,315
