,geoid,uninsured_rate,uninsured_count,total_population
445,13115,0.157,12264.0,78320.0
446,13117,0.083,19571.0,234514.0
447,13119,0.174,3246.0,18696.0
448,13121,0.107,96492.0,897667.0
449,13123,0.174,4086.0,23539.0
450,13125,0.1159999999999999,277.0,2380.0
451,13127,0.163,10470.0,64210.0
452,13129,0.1989999999999999,9821.0,49245.0
453,13131,0.177,3590.0,20327.0
454,13133,0.141,1930.0,13732.0
455,13135,0.153,130120.0,852358.0
456,13137,0.184,6690.0,36340.0
457,13139,0.192,33975.0,177185.0
458,13141,0.138,685.0,4976.0
459,13143,0.144,3793.0,26348.0
460,13145,0.09,2628.0,29141.0
461,13147,0.152,3045.0,20045.0
462,13149,0.146,1398.0,9549.0
463,13151,0.104,22184.0,213849.0
464,13153,0.11,15907.0,144348.0
465,13155,0.155,1083.0,7009.0
466,13157,0.136,9773.0,71930.0
467,13159,0.139,1814.0,13084.0
468,13161,0.176,2155.0,12233.0
469,13163,0.186,2174.0,11687.0
470,13165,0.147,854.0,5807.0
471,13167,0.1689999999999999,946.0,5613.0
472,13169,0.122,2799.0,22945.0
473,13171,0.129,2001.0,15456.0
474,13173,0.139,1138.0,8173.0
475,13175,0.142,5575.0,39149.0
476,13177,0.115,3216.0,27945.0
477,13179,0.119,6598.0,55563.0
478,13181,0.1969999999999999,1130.0,5743.0
479,13183,0.156,2504.0,16015.0
480,13185,0.143,13845.0,97078.0
481,13187,0.16,3988.0,24870.0
482,13189,0.13,2210.0,17043.0
483,13191,0.17,1304.0,7670.0
484,13193,0.193,1442.0,7469.0
485,13195,0.177,4538.0,25682.0
486,13197,0.179,1017.0,5687.0
487,13199,0.17,2722.0,16044.0
488,13201,0.138,598.0,4344.0
489,13205,0.141,2181.0,15473.0
490,13207,0.124,2800.0,22632.0
491,13209,0.141,889.0,6284.0
492,13211,0.129,2134.0,16534.0
493,13213,0.182,6123.0,33715.0
494,13215,0.118,19472.0,164495.0
495,13217,0.129,12703.0,98426.0
496,13219,0.074,2717.0,36583.0
497,13221,0.163,2023.0,12428.0
498,13223,0.114,17887.0,157440.0
499,13225,0.155,3399.0,21974.0
500,13227,0.159,4285.0,27003.0
501,13229,0.157,2588.0,16440.0
502,13231,0.127,2126.0,16716.0
503,13233,0.153,5561.0,36384.0
504,13235,0.16,1014.0,6353.0
505,13237,0.1639999999999999,2769.0,16855.0
506,13239,0.172,253.0,1467.0
507,13241,0.1969999999999999,2372.0,12045.0
508,13243,0.158,662.0,4187.0
509,13245,0.124,19788.0,159099.0
510,13247,0.149,11516.0,77325.0
511,13249,0.123,449.0,3644.0
512,13251,0.147,1555.0,10587.0
513,13253,0.151,1003.0,6634.0
514,13255,0.152,8214.0,53981.0
515,13257,0.144,2993.0,20725.0
516,13259,0.165,516.0,3122.0
517,13261,0.143,3075.0,21542.0
518,13263,0.142,575.0,4062.0
519,13265,0.108,121.0,1125.0
520,13267,0.158,2569.0,16301.0
521,13269,0.1639999999999999,958.0,5846.0
522,13271,0.1639999999999999,1129.0,6882.0
523,13273,0.163,1036.0,6360.0
524,13275,0.134,4791.0,35742.0
525,13277,0.166,5472.0,33032.0
526,13279,0.161,3483.0,21658.0
527,13281,0.144,1119.0,7745.0
528,13283,0.195,925.0,4747.0
529,13285,0.139,7882.0,56904.0
530,13287,0.155,1044.0,6750.0
531,13289,0.145,819.0,5635.0
532,13291,0.175,2972.0,17000.0
533,13293,0.141,3126.0,22224.0
534,13295,0.135,7352.0,54337.0
535,13297,0.127,10836.0,85505.0
536,13299,0.155,4205.0,27202.0
537,13301,0.145,548.0,3778.0
538,13303,0.142,1992.0,14075.0
539,13305,0.181,4311.0,23829.0
540,13307,0.204,343.0,1682.0
541,13309,0.18,684.0,3796.0
542,13311,0.1669999999999999,3598.0,21562.0
543,13313,0.214,18536.0,86782.0
544,13315,0.138,702.0,5096.0
545,13317,0.177,1259.0,7101.0
546,13319,0.149,983.0,6590.0
547,13321,0.138,2187.0,15837.0
548,15001,0.055,9453.0,172408.0
549,15003,0.04,32610.0,825262.0
551,15007,0.051,3147.0,61833.0
552,15009,0.047,6533.0,139761.0
553,16001,0.071,30599.0,429134.0
554,16003,0.114,377.0,3315.0
555,16005,0.078,5790.0,74012.0
556,16007,0.088,466.0,5311.0
557,16009,0.139,1087.0,7833.0
558,16011,0.106,4402.0,41444.0
