poverty_rate_pct,total_population_poverty,fips
8.5,5351,26015
14.3,14566,26017
9.9,1784,26019
15.0,22507,26021
16.3,7035,26023
13.8,17996,26025
12.1,6135,26027
8.7,2271,26029
12.0,3081,26031
13.4,4299,26033
17.2,5328,26035
9.1,7186,26037
14.1,1881,26039
12.5,4549,26041
13.0,3315,26043
9.0,9610,26045
8.8,2955,26047
16.4,65211,26049
13.9,3536,26051
16.8,2349,26053
9.5,9012,26055
12.3,4343,26057
13.9,6179,26059
14.4,4871,26061
12.0,3693,26063
16.3,43468,26065
12.1,7295,26067
18.2,4600,26069
12.8,1460,26071
19.4,11714,26073
13.0,19648,26075
12.2,30887,26077
12.3,2210,26079
10.7,69096,26081
10.4,227,26083
22.9,2605,26085
9.9,8617,26087
7.4,1671,26089
11.6,10923,26091
5.0,9680,26093
16.1,848,26095
14.3,1550,26097
9.8,84662,26099
13.0,3115,26101
11.4,7141,26103
10.2,2972,26105
20.4,8089,26107
12.2,2792,26109
8.9,7341,26111
13.3,2007,26113
9.6,14729,26115
14.8,9215,26117
16.3,1549,26119
14.5,24813,26121
13.3,6648,26123
8.2,102636,26125
16.2,4314,26127
16.4,3399,26129
14.3,834,26131
15.7,3594,26133
18.0,1502,26135
10.8,2744,26137
8.2,23817,26139
12.3,1626,26141
16.3,3845,26143
18.1,33127,26145
12.8,20337,26147
13.2,7936,26149
14.3,5751,26151
12.8,1033,26153
12.1,8145,26155
12.3,6411,26157
14.4,10781,26159
13.6,47071,26161
21.2,369107,26163
12.8,4311,26165
13.5,2141,27001
7.4,27085,27003
9.8,3430,27005
17.3,7697,27007
9.1,3719,27009
11.3,566,27011
14.9,9788,27013
8.2,2033,27015
10.3,3580,27017
4.5,4960,27019
13.8,4265,27021
10.4,1244,27023
5.4,3065,27025
11.4,7184,27027
10.6,906,27029
9.2,519,27031
13.2,1465,27033
10.6,7126,27035
6.1,26859,27037
6.0,1253,27039
8.7,3405,27041
10.7,1465,27043
8.1,1697,27045
11.7,3527,27047
9.0,4249,27049
11.2,679,27051
10.8,133681,27053
7.5,1403,27055
9.6,2089,27057
7.0,2955,27059
11.4,5067,27061
9.1,886,27063
9.9,1611,27065
8.8,3810,27067
10.3,407,27069
11.8,1373,27071
9.5,620,27073
8.4,906,27075
11.0,421,27077
6.3,1808,27079
9.5,520,27081
11.2,2764,27083
7.3,2642,27085
18.0,949,27087
8.5,749,27089
11.4,2210,27091
9.2,2141,27093
10.9,2925,27095
9.6,3256,27097
9.5,3763,27099
9.4,755,27101
9.0,2860,27103
11.1,2389,27105
10.0,626,27107
8.9,14379,27109
8.7,5203,27111
9.6,1296,27113
11.9,3376,27115
10.8,996,27117
10.7,3170,27119
10.3,1162,27121
13.8,72217,27123
9.7,371,27125
11.0,1662,27127
11.0,1563,27129
10.6,6425,27131
8.7,811,27133
9.8,1481,27135
14.6,28093,27137
4.6,6968,27139
6.1,6015,27141
8.0,1184,27143
11.1,17033,27145
8.9,3294,27147
10.7,958,27149
9.5,901,27151
10.1,2561,27153
13.7,434,27155
7.5,1597,27157
11.8,1652,27159
8.4,1520,27161
5.7,15451,27163
15.5,1685,27165
10.2,638,27167
14.3,6607,27169
5.3,7779,27171
10.7,1010,27173
31.1,8392,28001
18.0,6019,28003
20.3,2543,28005
22.9,3933,28007
23.1,1723,28009
29.1,8072,28011
22.8,2850,28013
20.3,1850,28015
